#{"t_start": 1780861332.801356, "env_id": "None"}
r,l,t,target
93.969898,18,2988.212892,clay
60.585966,25,2992.319117,clay
86.436106,22,2995.498187,clay
82.33879,16,2998.596347,clay
71.598127,31,3002.440431,clay
75.071499,22,3005.714366,clay
99.534944,14,3009.715451,clay
103.225728,13,3013.785741,clay
73.374245,38,3019.009165,clay
83.623847,23,3022.270396,clay
76.084507,34,3026.435308,clay
86.84,16,3029.652111,clay
96.087555,18,3032.596947,clay
76.518473,16,3035.516294,clay
73.82,23,3038.987861,clay
80.291219,25,3042.266988,clay
89.190562,20,3045.239408,clay
79.491569,14,3048.149195,clay
60.046208,25,3053.436115,clay
94.69358,18,3056.776529,clay
63.933886,28,3060.289923,clay
75.757288,26,3063.838938,clay
94.890472,17,3068.550194,clay
79.851499,14,3071.700957,clay
84.084373,21,3075.938204,clay
67.669733,18,3079.606968,clay
70.182809,46,3083.669328,clay
73.538581,35,3087.869839,clay
90.03,19,3090.930042,clay
80.492896,11,3093.871107,clay
69.8,15,3097.482408,clay
94.258146,18,3100.684502,clay
90.304907,16,3103.53981,clay
70.781539,29,3107.124133,clay
77.52,13,3110.422451,clay
60.141069,39,3114.445841,clay
88.39,21,3117.529773,clay
89.832306,17,3120.65154,clay
61.990511,23,3124.120359,clay
47.111364,29,3127.676137,clay
65.706106,35,3131.785646,clay
83.05,10,3134.440054,clay
80.081097,9,3137.288069,clay
84.28,22,3140.466446,clay
74.6098,39,3144.926684,clay
72.572308,38,3149.07446,clay
95.36,14,3152.101868,clay
96.28,12,3156.344954,clay
81.5895,10,3159.169727,clay
72.229082,38,3163.264164,clay
72.913913,30,3166.869362,clay
62.959894,30,3172.245428,clay
85.575047,23,3175.818341,clay
95.3495,14,3178.833248,clay
61.96446,36,3182.638035,clay
104.107655,12,3185.323086,clay
93.958473,17,3189.103829,clay
95.919288,17,3192.192696,clay
79.015421,25,3196.419374,clay
75.87634,31,3200.331324,clay
91.85,20,3204.249884,clay
72.397022,43,3210.238163,clay
73.637755,43,3214.756617,clay
71.041323,30,3218.303273,clay
76.191626,29,3222.185071,clay
69.997385,28,3226.76143,clay
91.812136,19,3230.280818,clay
100.448473,13,3233.497247,clay
82.961364,9,3236.41943,clay
87.079141,19,3239.566874,clay
87.600263,19,3242.757049,clay
71.690188,67,3248.912524,clay
44.657426,35,3252.899224,clay
95.858788,18,3256.268938,clay
71.96,19,3259.244767,clay
76.1,20,3262.346454,clay
85.68,10,3265.040469,clay
93.25,15,3268.66893,clay
64.28352,23,3271.68381,clay
97.221097,15,3275.205743,clay
77.463166,35,3278.674262,clay
83.148293,25,3282.14933,clay
75.49404,33,3285.91772,clay
54.818508,29,3289.523098,clay
86.92,8,3292.2214,clay
78.041394,28,3295.928059,clay
103.49,11,3299.120616,clay
67.342017,35,3302.80839,clay
80.822017,22,3306.020767,clay
96.033442,16,3309.574661,clay
102.77,13,3312.348147,clay
86.824012,22,3315.381646,clay
84.300472,23,3318.635892,clay
83.878849,24,3322.315324,clay
92.08,20,3325.899873,clay
75.550292,44,3330.543996,clay
89.43,17,3333.494672,clay
91.725047,18,3336.849583,clay
83.837288,20,3340.47071,clay
81.340562,15,3343.870497,clay
83.074281,24,3347.437282,clay
77.233442,14,3350.062859,clay
86.022331,22,3353.599632,clay
78.352101,20,3358.332123,clay
72.191906,59,3362.901046,clay
74.625728,15,3365.945825,clay
63.022798,33,3370.229325,clay
57.055904,30,3373.757984,clay
67.156668,19,3376.967039,clay
73.287087,41,3381.230906,clay
81.26,14,3384.443587,clay
75.665433,29,3388.03357,clay
61.037187,28,3392.965833,clay
73.003594,36,3397.278944,clay
92.752383,15,3399.958253,clay
53.634543,34,3403.558743,clay
90.635047,17,3406.848547,clay
83.73,12,3409.983459,clay
84.009668,26,3413.576979,clay
60.378484,22,3417.261696,clay
100.23,15,3420.122566,clay
84.611489,24,3423.458459,clay
90.410161,20,3426.506188,clay
96.687288,15,3429.925865,clay
76.915936,17,3433.762076,clay
99.338473,14,3436.511591,clay
54.732089,26,3440.014203,clay
88.950492,8,3443.333899,clay
86.416106,22,3446.355392,clay
67.345011,18,3449.444709,clay
93.144626,18,3452.904896,clay
56.639989,20,3456.512953,clay
93.084604,19,3459.636106,clay
74.283442,16,3462.809669,clay
67.252033,22,3466.36904,clay
86.697844,22,3470.560934,clay
90.087876,19,3473.920192,clay
104.384944,12,3476.478447,clay
100.99,14,3480.479455,clay
87.756559,21,3485.174179,clay
96.81,14,3489.497528,clay
94.754626,17,3493.229839,clay
102.23,12,3496.301855,clay
79.943847,14,3499.325839,clay
91.17,13,3502.336854,clay
79.025299,28,3507.292001,clay
96.877655,15,3510.357218,clay
90.611405,22,3513.763872,clay
70.857922,15,3516.919572,clay
72.254944,17,3520.138135,clay
100.361097,14,3522.761206,clay
81.518874,25,3526.012314,clay
66.001097,22,3529.465258,clay
94.457593,17,3532.28835,clay
87.36032,19,3535.473843,clay
67.957632,21,3539.274755,clay
72.23572,17,3542.360004,clay
88.703913,21,3545.641564,clay
86.626546,21,3549.086264,clay
82.926559,24,3552.483304,clay
94.67,16,3555.162099,clay
98.870472,16,3557.979352,clay
101.126022,14,3560.787639,clay
74.325741,47,3565.293417,clay
74.705217,16,3568.035398,clay
104.530562,11,3570.817446,clay
88.950492,8,3573.572756,clay
95.94572,14,3576.925174,clay
78.232614,28,3580.705361,clay
89.348784,21,3583.53474,clay
69.361392,23,3586.709302,clay
74.081405,30,3590.329028,clay
91.218145,17,3593.822691,clay
81.293934,13,3596.806637,clay
86.84,9,3599.249369,clay
93.245141,16,3603.339368,clay
100.53,12,3606.477648,clay
103.29,11,3610.982289,clay
99.745946,14,3613.777371,clay
69.34,31,3617.998067,clay
88.080562,21,3621.360288,clay
75.806668,22,3624.795424,clay
80.108215,24,3628.943873,clay
92.498145,14,3631.708613,clay
77.254563,25,3635.359655,clay
82.678456,22,3638.85228,clay
105.55,10,3641.991499,clay
76.211587,36,3646.227736,clay
74.10715,40,3650.262159,clay
85.36,9,3653.760442,clay
95.15,15,3656.589164,clay
89.481219,18,3659.682217,clay
72.88,17,3662.724314,clay
103.96,12,3665.493461,clay
83.921219,24,3668.967378,clay
89.222306,23,3672.145104,clay
91.733913,18,3675.353076,clay
105.49,6,3678.079927,clay
86.090562,20,3682.504289,clay
98.320492,11,3685.549393,clay
