#{"t_start": 1780717463.1922045, "env_id": "None"}
r,l,t,target
98.647656,14,5022.03332,log
76.892,22,5026.337575,log
31.915728,72,5033.516951,clay
-9.350146,100,5043.513701,clay
-12.452144,100,5052.425652,clay
64.686096,66,5058.9373,diamond_ore
98.937532,14,5063.125675,diamond_ore
59.512486,36,5067.93775,diamond_ore
67.893767,51,5073.734974,diamond_ore
65.71268,43,5078.636617,diamond_ore
-29.804688,100,5087.82539,diamond_ore
81.166668,18,5091.61967,log
80.966641,13,5095.062706,log
74.467552,36,5099.546146,log
63.320165,38,5104.520713,clay
18.513116,96,5113.898343,clay
94.73937,17,5117.435306,clay
34.552941,74,5125.569161,diamond_ore
-0.976605,100,5133.908298,
-56.316033,100,5142.513752,diamond_ore
41.59786,33,5146.89844,log
-6.384581,100,5155.947994,log
53.030192,78,5163.678155,log
67.577158,52,5169.949518,clay
71.400854,37,5174.705807,clay
105.100492,9,5177.966767,clay
93.580492,10,5181.74253,clay
12.21129,91,5190.316167,clay
73.460813,43,5195.646803,clay
63.52434,39,5200.715072,log
-1.747058,100,5209.660308,log
-31.030291,100,5219.183607,log
63.023976,31,5224.592222,diamond_ore
68.962244,52,5230.648288,diamond_ore
68.47349,59,5236.614158,diamond_ore
